Geneid,Chr,Strand,NExons,P.Value,FDR
gene-Zmym2,NC_000080.7,+,29,4.15290245204666e-05,0.00160543015688876
gene-Rtn1,NC_000078.7,-,12,4.15850230076342e-05,0.00160543015688876
gene-Frmd4a,NC_000068.8,+,32,4.23028965440301e-05,0.00162828381251173
gene-Copb1,NC_000073.7,-,22,4.34643982108398e-05,0.00166802689038811
gene-Supt16,NC_000080.7,-,26,4.45672197180348e-05,0.00170207732160354
gene-Msantd2,NC_000075.7,+,14,4.4614877601763e-05,0.00170207732160354
gene-B3galnt1,NC_000069.7,-,4,4.60633062516105e-05,0.00175216688162376
gene-Arhgap32,NC_000075.7,+,24,4.62182426806145e-05,0.00175290478764923
gene-Pcdh1,NC_000084.7,-,6,4.80169840628905e-05,0.00181580016048352
gene-Rusc2,NC_000070.7,+,16,4.86786575378147e-05,0.00183545503771591
gene-Mad1l1,NC_000071.7,-,20,4.99133222492078e-05,0.00187653778095641
gene-Polr3gl,NC_000069.7,-,9,5.01526576131317e-05,0.00188007049539314
gene-Cacna2d1,NC_000071.7,+,45,5.05514952206822e-05,0.00188954476210718
gene-Cdc42bpa,NC_000067.7,+,44,5.1632933610226e-05,0.00192440556305779
gene-Hmbox1,NC_000080.7,-,18,5.17989730498267e-05,0.00192504631739485
gene-Pbx1,NC_000067.7,-,12,5.36003127256575e-05,0.00198240275733244
gene-Atxn1,NC_000079.7,-,15,5.36488800020378e-05,0.00198240275733244
gene-Cdh2,NC_000084.7,-,17,5.41246799092875e-05,0.00199428628281144
gene-Cnot6,NC_000077.7,-,17,5.45720531418459e-05,0.00200505785023719
gene-Matr3,NC_000084.7,+,26,5.7175452936471e-05,0.0020947595830804
gene-Inpp4a,NC_000067.7,+,33,5.74200026357564e-05,0.00209777653697242
gene-Dmxl1,NC_000084.7,+,44,5.79551016916797e-05,0.00211136149346054
gene-Htt,NC_000071.7,+,71,5.83949254259971e-05,0.00211918846355635
gene-Btaf1,NC_000085.7,+,40,5.84976634570182e-05,0.00211918846355635
gene-Zfp326,NC_000071.7,+,16,5.89715783608416e-05,0.00212561078022524
gene-Edc4,NC_000074.7,+,33,5.90036549989068e-05,0.00212561078022524
gene-Srrm2,NC_000083.7,+,31,5.92904840712923e-05,0.00213001064026118
gene-Gabrb2,NC_000077.7,+,10,6.04487150523436e-05,0.00216560452014393
gene-Pcdha6,NC_000084.7,+,4,6.1127028588615e-05,0.00218385596888552
gene-Vps13b,NC_000081.7,+,61,6.37942410704297e-05,0.00227286754755886
gene-A230045G11Rik,NC_000083.7,-,5,6.44903813958327e-05,0.00228798620097466
gene-Synrg,NC_000077.7,+,25,6.45929619273617e-05,0.00228798620097466
gene-Cyfip2,NC_000077.7,-,33,6.47493195358173e-05,0.00228798620097466
gene-Kif3a,NC_000077.7,+,21,6.64054382089632e-05,0.00233365023274302
gene-Atf7ip,NC_000072.7,+,20,6.65371940088486e-05,0.00233365023274302
gene-Rapgef2,NC_000069.7,-,33,6.65829224373444e-05,0.00233365023274302
gene-Rapgef6,NC_000077.7,+,32,6.68581765211836e-05,0.00233696431607694
gene-Vcp,NC_000070.7,-,17,6.72922054906968e-05,0.00234579540056922
gene-Ntrk3,NC_000073.7,-,32,6.7531362234259e-05,0.00234780405316041
gene-Pcdhga10,NC_000084.7,+,4,6.95587884313163e-05,0.00241180646322309
gene-Mtss2,NC_000074.7,+,19,7.00762721755462e-05,0.00242325248140732
gene-Zfp451,NC_000067.7,-,20,7.07810566655199e-05,0.00244109708228045
gene-Uhrf2,NC_000085.7,+,17,7.15251537108236e-05,0.00246019897059064
gene-Dip2c,NC_000079.7,+,39,7.23570138619595e-05,0.0024822102394608
gene-Pcdh19,NC_000086.8,-,8,7.27975838644235e-05,0.00249071733364706
gene-Hspg2,NC_000070.7,+,74,7.61715517708301e-05,0.0025992788365492
gene-Spen,NC_000070.7,-,20,7.64249813623224e-05,0.00260106390515504
gene-Igf1r,NC_000073.7,+,23,7.75082177678735e-05,0.00263100729761656
gene-Zfp266,NC_000075.7,-,10,7.81223179480124e-05,0.00264491083251739
gene-Dnm1l,NC_000082.7,-,23,8.002390001745e-05,0.00270221696847436
gene-Wnk2,NC_000079.7,-,34,8.17351759422344e-05,0.00275281518349197
gene-Zmiz2,NC_000077.7,+,27,8.22330733416943e-05,0.00276059400323
gene-Col4a2,NC_000074.7,+,48,8.23930476491748e-05,0.00276059400323
gene-Txnrd1,NC_000076.7,+,16,8.42096342467105e-05,0.00281416847470984
gene-Arhgap5,NC_000078.7,+,8,8.50978184630421e-05,0.00283652084067661
gene-Dgat1,NC_000081.7,-,20,8.56625639938053e-05,0.0028452957189422
gene-Fam120c,NC_000086.8,+,20,8.58010771195746e-05,0.0028452957189422
gene-Shc3,NC_000079.7,-,14,8.67496499313992e-05,0.00286939443110687
gene-Prkd3,NC_000083.7,-,22,8.85411791396266e-05,0.00292118130054283
gene-Cnot3,NC_000073.7,+,29,9.09942563593708e-05,0.00298725647166681
gene-Atp2b4,NC_000067.7,-,24,9.10058802935685e-05,0.00298725647166681
gene-Nav3,NC_000076.7,-,44,9.16717781608193e-05,0.00300149647330095
gene-Slc1a2,NC_000068.8,+,12,9.40658202003828e-05,0.0030721041733625
gene-Tiam1,NC_000082.7,-,30,9.44784854604615e-05,0.00307780920015151
gene-Med13,NC_000077.7,-,30,9.88567119595622e-05,0.00320770066354385
gene-Akt3,NC_000067.7,-,18,9.89617694853474e-05,0.00320770066354385
gene-Zswim8,NC_000080.7,+,35,9.94346274581754e-05,0.00321497009229146
gene-Scarb2,NC_000071.7,-,12,0.000101487829762065,0.00326428442948418
gene-Morc2a,NC_000077.7,+,31,0.000101782900665877,0.00326428442948418
gene-Cep170b,NC_000078.7,+,20,0.000101899504617513,0.00326428442948418
gene-Cd93,NC_000068.8,-,2,0.000101969450979016,0.00326428442948418
gene-Bmpr2,NC_000067.7,+,16,0.000102490078141829,0.0032728498286624
gene-Notch2,NC_000069.7,+,34,0.000102769047884135,0.00327367511400374
gene-Gon4l,NC_000069.7,+,37,0.00010463021270428,0.00332477282777507
gene-Fam53b,NC_000073.7,-,6,0.000105144060575113,0.00333291209661259
gene-Slc7a1,NC_000071.7,-,15,0.00010552680991677,0.00333686609450753
gene-Ccdc186,NC_000085.7,-,17,0.000106437413274569,0.00335745138019511
gene-Uggt1,NC_000067.7,-,41,0.000108850978357334,0.00342523042115668
gene-Supt6,NC_000077.7,-,41,0.000111476684090543,0.00349683034224129
gene-Gucy1a1,NC_000069.7,-,9,0.000111830212444162,0.00349683034224129
gene-Epb41,NC_000070.7,-,26,0.000111962695703487,0.00349683034224129
gene-Amer2,NC_000080.7,+,4,0.000112207886184964,0.00349683034224129
gene-Nlgn2,NC_000077.7,-,10,0.000115622007767117,0.00359456592897146
gene-Marf1,NC_000082.7,-,31,0.000118059321175899,0.00365624460739638
gene-Usp15,NC_000076.7,-,25,0.000118171363635018,0.00365624460739638
gene-Tjp1,NC_000073.7,-,33,0.000120038138220053,0.00370513900143186
gene-Dhx36,NC_000069.7,-,30,0.000121439165024488,0.00373945886014691
gene-Zcchc14,NC_000074.7,-,15,0.000121739639986305,0.00373980704024438
gene-Camsap2,NC_000067.7,-,23,0.000122682618695108,0.00375984433076737
gene-Synj1,NC_000082.7,-,42,0.000123656075826323,0.00377765033019533
gene-Arfgef3,NC_000076.7,-,34,0.000123847811026276,0.00377765033019533
gene-Frmd4b,NC_000072.7,-,24,0.000124868275414387,0.00379981507278652
gene-Med13l,NC_000071.7,+,35,0.000126691422489225,0.00383881389518419
gene-Limch1,NC_000071.7,+,29,0.000127027674041424,0.00383881389518419
gene-Setx,NC_000068.8,+,30,0.00012712520888446,0.00383881389518419
gene-Snhg14,NC_000073.7,-,71,0.00012733713454218,0.00383881389518419
gene-Usp22,NC_000077.7,-,13,0.000128054480834486,0.00385146186193583
gene-Zfp207,NC_000077.7,+,32,0.000128419000143356,0.00385346387205111
gene-Adcy1,NC_000077.7,+,20,0.00012927154747349,0.00387006695248762
gene-Nnat,NC_000068.8,+,7,0.00012973290471984,0.00387490913797156
gene-Bcor,NC_000086.8,-,19,0.000130134255166685,0.00387794083426436
gene-Arnt2,NC_000073.7,-,22,0.000131331035597342,0.00390219774073283
gene-Mn1,NC_000071.7,+,3,0.000131551706097542,0.00390219774073283
gene-Igsf3,NC_000069.7,+,13,0.000138709002436659,0.00410274710701265
gene-Hnrnpu,NC_000067.7,-,21,0.000138947130044966,0.00410274710701265
gene-Tpm3,NC_000069.7,+,17,0.000142305154064102,0.00418304546052579
gene-Elp1,NC_000070.7,-,41,0.000142313461890617,0.00418304546052579
gene-Mapk1ip1l,NC_000080.7,+,5,0.000143437013921279,0.00420650997969139
gene-Pi4ka,NC_000082.7,-,57,0.000144757768306877,0.00423563850116027
gene-Chka,NC_000085.7,+,22,0.000149675879723256,0.00436965722903131
gene-Cntn2,NC_000067.7,-,26,0.000150786749590754,0.00439217349652527
gene-Atg2b,NC_000078.7,-,46,0.00015150787049522,0.00439390339386815
gene-Camk1d,NC_000068.8,-,14,0.000151525625428377,0.00439390339386815
gene-Szt2,NC_000070.7,-,79,0.00015539950349317,0.00448433961438957
gene-Scn3a,NC_000068.8,-,34,0.000155413523035987,0.00448433961438957
gene-Mmp16,NC_000070.7,+,13,0.000155684565596607,0.00448433961438957
gene-Zzef1,NC_000077.7,+,65,0.000156518706311567,0.00449834761939445
gene-Ggnbp2,NC_000077.7,-,19,0.000157325854727513,0.00451151946605527
gene-Cds2,NC_000068.8,+,13,0.000159159651233791,0.00455400833939517
gene-Cacnb3,NC_000081.7,+,27,0.000160972228299491,0.00459570381588812
gene-Grin1,NC_000068.8,-,22,0.000162137835753345,0.00461702375485599
gene-Wdr47,NC_000069.7,+,20,0.000162432986040321,0.00461702375485599
gene-Hipk2,NC_000072.7,-,18,0.000163194110234801,0.00462408660348484
gene-Ptprd,NC_000070.7,-,54,0.000163396549740399,0.00462408660348484
gene-Cdc42bpb,NC_000078.7,-,43,0.00016445905210064,0.00464399327689427
gene-Csrnp3,NC_000068.8,+,9,0.000164842295010611,0.00464467407706368
gene-Klhl7,NC_000071.7,+,12,0.000168837299364152,0.00474689737538387
gene-Ctnnb1,NC_000075.7,+,17,0.000172897153888435,0.00485049651028011
gene-Frem2,NC_000069.7,-,24,0.000174713616484509,0.00489084675756312
gene-Nup155,NC_000081.7,+,37,0.000176623227715395,0.00493362463076287
gene-Pde2a,NC_000073.7,+,34,0.000179118861861327,0.00499255224235463
gene-Colgalt1,NC_000074.7,+,18,0.000180198612739173,0.00501184657753919
gene-Senp5,NC_000082.7,-,16,0.000183681878590078,0.00509776338155683
gene-Sez6l,NC_000071.7,-,21,0.00018856545031146,0.00521787921136299
gene-Mib1,NC_000084.7,+,26,0.000188816784266441,0.00521787921136299
gene-Dag1,NC_000075.7,-,6,0.000191039734652226,0.00526805306664657
gene-Dnm3,NC_000067.7,-,22,0.000192234829177087,0.00528972988456864
gene-Senp7,NC_000082.7,+,30,0.00019375759334941,0.00532031200591916
gene-Ccdc88a,NC_000077.7,+,39,0.000194741935346102,0.0053360115462524
gene-Dock11,NC_000086.8,+,57,0.00019702274351816,0.00538709332329887
gene-Epb41l1,NC_000068.8,+,30,0.000198124288605964,0.00540578359607792
gene-Itfg1,NC_000074.7,-,18,0.00019950287735524,0.0054319383428112
gene-Hsp90b1,NC_000076.7,-,18,0.000202558453905642,0.00550354723605393
gene-Uba1,NC_000086.8,+,29,0.000203071969208904,0.0055059324481735
gene-Tmem132b,NC_000071.7,+,9,0.000203515516178124,0.00550641458312067
gene-Zbed3,NC_000079.7,+,3,0.000206811004052435,0.00558328988946503
gene-Pom121,NC_000071.7,-,13,0.000207239551191103,0.00558328988946503
gene-Osbpl8,NC_000076.7,+,28,0.000208056888109906,0.00558328988946503
gene-Canx,NC_000077.7,-,17,0.000208083640819775,0.00558328988946503
gene-Flrt2,NC_000078.7,+,4,0.000208963053427657,0.00559527778463745
gene-Rbfox2,NC_000081.7,-,25,0.000209503758697329,0.00559816551907553
gene-Pik3c2a,NC_000073.7,-,33,0.000211516495786123,0.00564029451546789
gene-Usp32,NC_000077.7,-,35,0.000213295373898875,0.00567602689430895
gene-Macroh2a1,NC_000079.7,-,14,0.000217132425115625,0.0057662703367975
gene-Tpp2,NC_000067.7,+,31,0.000218553767169051,0.00578829819234379
gene-Setd1b,NC_000071.7,+,17,0.000219200534434166,0.00578829819234379
gene-Afdn,NC_000083.7,+,41,0.000219664664831014,0.00578829819234379
gene-Slc39a6,NC_000084.7,-,10,0.000219752138903642,0.00578829819234379
gene-Ash2l,NC_000074.7,-,19,0.000223641858184496,0.0058787807965449
gene-Myo1b,NC_000067.7,-,34,0.000224448388090258,0.00588801420521562
gene-Fgf14,NC_000080.7,-,12,0.000227004091037582,0.00594300386516002
gene-Ntm,NC_000075.7,-,11,0.000231271970305983,0.00604250584235813
gene-Prr12,NC_000073.7,-,14,0.000232891915696869,0.00607256279376532
gene-Agrn,NC_000070.7,-,49,0.000233807924354918,0.00608418085650332
gene-Nup58,NC_000080.7,-,16,0.000240716137461741,0.00625136908793714
gene-Cbl,NC_000075.7,-,17,0.000242216632823985,0.00627746510693894
gene-Rbm5,NC_000075.7,-,30,0.000243286531468844,0.00627746510693894
gene-Gsk3b,NC_000082.7,+,12,0.000243679083192519,0.00627746510693894
gene-Rabgap1l,NC_000067.7,-,35,0.000243834385698178,0.00627746510693894
gene-Celsr1,NC_000081.7,-,37,0.000244147912223791,0.00627746510693894
gene-Tbc1d32,NC_000076.7,-,27,0.00024697753819466,0.00633762004260225
gene-Ubqln4,NC_000069.7,+,14,0.000247939520136495,0.00634970656222829
gene-Pcdh17,NC_000080.7,+,7,0.000250021155488074,0.00638631477652388
gene-Ip6k1,NC_000075.7,+,6,0.000250356575558463,0.00638631477652388
gene-B4galt6,NC_000084.7,-,9,0.000253189440914403,0.00644586425068106
gene-Usp10,NC_000074.7,+,16,0.000254184573723196,0.00645848544589802
gene-Adamts3,NC_000071.7,-,25,0.00025609115833079,0.00649417049155316
gene-Dock9,NC_000080.7,-,73,0.000256696757256465,0.00649590660421809
gene-Zfc3h1,NC_000076.7,+,38,0.000257164167738318,0.00649590660421809
gene-Rspry1,NC_000074.7,+,18,0.00026231324669921,0.00661305500889061
gene-Fn1,NC_000067.7,-,48,0.000264325113907057,0.00664683594773042
gene-Ndst1,NC_000084.7,-,16,0.000264681088152878,0.00664683594773042
gene-Slc35f1,NC_000076.7,+,8,0.000267347685662488,0.00670078995866851
gene-Ro60,NC_000067.7,-,10,0.000268125998169791,0.00670729890586056
gene-Crkl,NC_000082.7,+,3,0.000270821779562306,0.00676165651559712
gene-Robo1,NC_000082.7,+,37,0.000278289730228183,0.00693472269950113
gene-Glg1,NC_000074.7,-,26,0.000280283662050129,0.00697097807941216
gene-Atp2a2,NC_000071.7,-,23,0.000284014250743321,0.00705020404004487
gene-Synm,NC_000073.7,-,6,0.000286016063388065,0.0070862945360112
gene-Elp2,NC_000084.7,+,24,0.000290096916262926,0.00717365854307537
gene-Cpeb4,NC_000077.7,+,12,0.000293544991901209,0.00723860169331557
gene-Atp11c,NC_000086.8,-,38,0.000293852940714953,0.00723860169331557
gene-Nsd2,NC_000071.7,+,27,0.000294402264801978,0.00723860169331557
gene-Notch1,NC_000068.8,-,34,0.000297179482941006,0.00729302135270595
gene-Smarcc1,NC_000075.7,+,29,0.000297795938487068,0.00729430847055541
gene-Neurl4,NC_000077.7,+,36,0.00030037140053535,0.00734348454276688
gene-Acly,NC_000077.7,-,30,0.000308912078344794,0.00751961692184699
gene-Tmem106b,NC_000072.7,+,9,0.000309026787616432,0.00751961692184699
gene-Elmo2,NC_000068.8,-,24,0.000309320049673131,0.00751961692184699
gene-Serpini1,NC_000069.7,+,10,0.000310213190480343,0.00752718047370033
gene-Rhot1,NC_000077.7,+,24,0.000312696611949322,0.00757323086580633
gene-Crbn,NC_000072.7,-,13,0.000314012243284914,0.00759087914467998
gene-Ppil4,NC_000076.7,+,15,0.000318328667336015,0.00768086689301619
gene-Ldlrad4,NC_000084.7,+,10,0.000319695609176784,0.00769948475509004
gene-Ythdc2,NC_000084.7,+,32,0.000322592681858033,0.00774475174111838
gene-Disp2,NC_000068.8,+,10,0.000322772843768871,0.00774475174111838
gene-Sbf1,NC_000081.7,-,43,0.000325534493132376,0.00779655111052039
gene-Mcm3ap,NC_000076.7,+,31,0.000326395321491834,0.00780271847107928
gene-Nup153,NC_000079.7,-,23,0.000331460813732331,0.00790919318081224
gene-Zfyve9,NC_000070.7,-,22,0.000333207882967477,0.00793623858272261
gene-Zeb2,NC_000068.8,-,17,0.000335127269033456,0.00796728119560604
gene-Ncoa7,NC_000076.7,-,18,0.000338856379262858,0.00804115514313127
gene-Pcdh11x,NC_000086.8,+,11,0.00034095696832107,0.00807618401336336
gene-Ppm1e,NC_000077.7,-,8,0.0003433670067576,0.0081184012767752
gene-Tcaf1,NC_000072.7,-,13,0.000350247165009077,0.00826596092164669
gene-Cabin1,NC_000076.7,-,45,0.000354844824107104,0.00834196478018637
gene-Nid1,NC_000079.7,+,20,0.000355033197020286,0.00834196478018637
gene-Hnrnpll,NC_000083.7,-,14,0.000355402659389368,0.00834196478018637
gene-Fnbp1l,NC_000069.7,-,16,0.00035629283645397,0.00834770879322317
gene-Agap2,NC_000076.7,+,24,0.000357185146846865,0.00835348192435897
gene-Tnrc6c,NC_000077.7,+,26,0.000359551034303668,0.00839363452463779
gene-Cpd,NC_000077.7,-,21,0.000361847761932005,0.00843203081993985
gene-Alcam,NC_000082.7,-,16,0.00036320019217824,0.00844832389467837
gene-Efr3a,NC_000081.7,+,24,0.000367579212811853,0.00852516417634076
gene-Bpnt2,NC_000070.7,-,5,0.000367827354667164,0.00852516417634076
gene-Eif4g3,NC_000070.7,+,44,0.000368481154764903,0.00852516417634076
gene-Snx27,NC_000069.7,-,13,0.000371079443781968,0.00856994722577177
gene-Dgkh,NC_000080.7,-,35,0.000372365374812286,0.00858431620757093
gene-Pbrm1,NC_000080.7,+,35,0.000375831600204907,0.00864880798122787
gene-Ttc14,NC_000069.7,+,23,0.000378511767427464,0.00869501365566499
gene-1500004A13Rik,NC_000069.7,-,6,0.000386475075676925,0.00886220240022992
gene-Srrm1,NC_000070.7,-,31,0.000387168103625209,0.00886238067997315
gene-Sema4d,NC_000079.7,-,28,0.000388014020683933,0.00886605181891397
gene-Neto2,NC_000074.7,-,13,0.000392357301885667,0.00894948321920165
gene-Dock7,NC_000070.7,-,57,0.000393066338187491,0.0089498713939768
gene-Pappa2,NC_000067.7,-,22,0.00039544178152133,0.00898813455257533
gene-Csnk2a1,NC_000068.8,+,16,0.000403042105193461,0.00914481323941584
gene-Xpo5,NC_000083.7,+,32,0.00040564293774185,0.00918770597866086
gene-Mgat4a,NC_000067.7,-,17,0.000407168415369332,0.00920613481813212
gene-Prkcb,NC_000073.7,+,18,0.000410222997745669,0.00925901226848995
gene-Pum1,NC_000070.7,+,29,0.000416284100986723,0.0093794464774587
gene-Gbf1,NC_000085.7,+,41,0.000420141425090141,0.00944989400120138
gene-Strn3,NC_000078.7,-,21,0.000422198751567434,0.0094794481558264
gene-Ddb1,NC_000085.7,+,28,0.000422921331934728,0.0094794481558264
gene-Maco1,NC_000070.7,-,15,0.000426337836515719,0.00952673397620407
gene-Tnks2,NC_000085.7,+,29,0.000426736890058871,0.00952673397620407
gene-Gprin2,NC_000080.7,-,2,0.000427240834005905,0.00952673397620407
gene-Ttc3,NC_000082.7,+,60,0.000432040494976546,0.00961717680125932
gene-Ptbp2,NC_000069.7,-,16,0.000437872250514602,0.00973024366994047
gene-Hspa12a,NC_000085.7,-,16,0.000439420640291257,0.00974790247150399
gene-Lrch3,NC_000082.7,+,25,0.000442393409337171,0.00979704445711924
gene-Kitl,NC_000076.7,+,11,0.000443551353353278,0.00980589684259478
gene-Rere,NC_000070.7,+,31,0.000447684796109809,0.00988038817079891
gene-Maged1,NC_000086.8,-,14,0.000453633542504861,0.00999462113324594
gene-Adar,NC_000069.7,+,16,0.000456283597795923,0.010033004048048
gene-Arid2,NC_000081.7,+,22,0.000456927192785919,0.010033004048048
gene-Pcdhgb2,NC_000084.7,+,4,0.000460469574200298,0.0100936491578516
gene-Slc33a1,NC_000069.7,-,8,0.000464987629283681,0.0101754399484363
gene-Bicd2,NC_000079.7,+,11,0.000467021360225211,0.0101984709254168
gene-Edem3,NC_000067.7,+,24,0.000468295556136761,0.0101984709254168
gene-Cramp1,NC_000083.7,-,22,0.000468405762754007,0.0101984709254168
gene-Nsg2,NC_000077.7,+,9,0.000469391682374956,0.0102027607195887
gene-Peg3,NC_000073.7,-,21,0.000472681146263391,0.0102570222560813
gene-Fbxo6,NC_000070.7,-,6,0.000473546319869224,0.0102572669046873
gene-Phrf1,NC_000073.7,+,22,0.000474278636743448,0.0102572669046873
gene-Mkln1,NC_000072.7,+,21,0.000476034548513551,0.0102780547845171
gene-Carm1,NC_000075.7,+,17,0.000479789614224048,0.0103418651345994
gene-Adgrb1,NC_000081.7,+,40,0.000481383271441686,0.0103589514967643
gene-Map1a,NC_000068.8,+,8,0.000493434665093769,0.0105981471499584
gene-Zfp618,NC_000070.7,+,16,0.000494137688968135,0.0105981471499584
gene-Prpf40a,NC_000068.8,-,29,0.000495956604042546,0.0106195476160302
gene-Acvr2a,NC_000068.8,+,14,0.000501991584473734,0.0107310035735517
gene-Pcnx3,NC_000085.7,-,40,0.00050433767062263,0.0107633648418523
gene-Ptprf,NC_000070.7,-,39,0.000509837346006472,0.0108628111958842
gene-Arhgef7,NC_000074.7,+,28,0.000513053315692096,0.0109133528484307
gene-Ehbp1,NC_000077.7,-,32,0.000514785132457663,0.0109322103745073
gene-Trim9,NC_000078.7,-,28,0.000520410210871098,0.0110335496019605
gene-Tbc1d24,NC_000083.7,-,12,0.000525054257168893,0.0111091212590385
gene-Marchf4,NC_000067.7,-,7,0.000525692585674751,0.0111091212590385
gene-Pde4dip,NC_000069.7,-,49,0.000528026566715407,0.0111272962661466
gene-Meaf6,NC_000070.7,+,14,0.000528273401949589,0.0111272962661466
gene-Utp18,NC_000077.7,-,14,0.000533266846765821,0.011205802437524
gene-Dnajc6,NC_000070.7,+,21,0.000533733418504196,0.011205802437524
gene-Kmt2c,NC_000071.7,-,70,0.000547031526665582,0.0114663836861685
gene-Hspa5,NC_000068.8,+,10,0.000550529099982452,0.0115210240292444
gene-Mon1b,NC_000074.7,+,7,0.000558209307318101,0.0116487261042007
gene-Cacna1d,NC_000080.7,-,55,0.000558432705838122,0.0116487261042007
gene-Lmtk2,NC_000071.7,+,15,0.000565131692732009,0.0117694817747231
gene-Sipa1l3,NC_000073.7,-,25,0.000569629814784686,0.011844087451142
gene-Sf3b3,NC_000074.7,-,29,0.000572687372399767,0.0118885486151624
gene-Flnb,NC_000080.7,-,47,0.000578412019745185,0.0119881452746226
gene-Cacna2d2,NC_000075.7,+,41,0.000585504017058588,0.01211571752419
gene-Ncor2,NC_000071.7,-,57,0.000589889255727698,0.0121707321860598
gene-Copb2,NC_000075.7,+,22,0.000590044775431804,0.0121707321860598
gene-Kmt2b,NC_000073.7,-,42,0.000596094013860197,0.0122759297472196
gene-Lrch2,NC_000086.8,-,23,0.000599267074147515,0.0123216551191571
gene-Plcb1,NC_000068.8,+,35,0.000601081669064032,0.0123393479777859
gene-Ppp4r3a,NC_000078.7,-,19,0.000612925857418719,0.0125625516862065
gene-Vcpip1,NC_000067.7,-,3,0.000623734279627471,0.0127638535418071
gene-Ubr2,NC_000083.7,-,51,0.000629767962760735,0.0128669653434196
gene-Epha5,NC_000071.7,-,22,0.000632521319926387,0.0129028363258801
gene-Igf2r,NC_000083.7,-,48,0.00063471617622081,0.0129272193812027
gene-Slmap,NC_000080.7,-,31,0.000642997020125108,0.0130638312211678
gene-Lars2,NC_000075.7,+,21,0.000643984820398333,0.0130638312211678
gene-Clasp1,NC_000067.7,+,44,0.000644454056994126,0.0130638312211678
gene-Tor1aip2,NC_000067.7,+,9,0.000645831850633027,0.0130712728078825
gene-Cad,NC_000071.7,+,47,0.000653036613039315,0.0131787669950372
gene-Septin11,NC_000071.7,+,19,0.000653180982279352,0.0131787669950372
gene-Ndnf,NC_000072.7,+,5,0.000655879833774368,0.0132126073056136
gene-Ap2b1,NC_000077.7,+,26,0.000656971817895651,0.0132140225829618
gene-Nos1ap,NC_000067.7,-,11,0.000663185252140094,0.0133182839533041
gene-Opa1,NC_000082.7,+,32,0.000666709952512753,0.0133683097920115
gene-Xkr4,NC_000067.7,-,6,0.000668645644193792,0.0133863686011739
gene-Zfhx3,NC_000074.7,+,9,0.000675163145687675,0.013456050551323
gene-Mir9-3hg,NC_000073.7,+,6,0.000676033830233423,0.013456050551323
gene-Gm4258,NC_000067.7,+,8,0.00067609619262383,0.013456050551323
